,id,value
0,bus_tech.company,0.530051858
1,bus_tech.Google,0.343459156
2,bus_tech.Apple,0.322245801
3,bus_tech.technology,0.308667699
4,bus_tech.user,0.296786281
5,bus_tech.social network,0.28515678
6,bus_tech.feature,0.26415028
7,bus_tech.tech,0.241774507
8,bus_tech.software,0.238385026
9,bus_tech.manufacturer,0.237651065
10,bus_tech.web,0.234862279
11,bus_tech.technology company,0.231822545
12,bus_tech.device,0.218480183
13,bus_tech.account,0.214671671
14,bus_tech.sale,0.209331208
15,bus_tech.phone,0.204200063
16,bus_tech.iphone,0.199927437
17,bus_tech.online,0.199634357
18,bus_tech.Tesla,0.192603175
19,bus_tech.developer,0.190414056
40,entertainment.Number of People in Title,0.522720645
41,entertainment.art,0.456228711
42,entertainment.Sentiment Score of Article Body,0.449342127
43,entertainment.singer,0.344345446
44,entertainment.actor,0.343382872
45,entertainment.performance,0.324715109
46,entertainment.show,0.32114783
47,entertainment.hollywood,0.320378872
48,entertainment.museum,0.310354671
49,entertainment.film,0.288537879
50,entertainment.concert,0.27792151
51,entertainment.label,0.275345668
52,entertainment.episode,0.270733652
53,entertainment.night,0.26959848
54,entertainment.direct,0.262461061
55,entertainment.star,0.261600219
56,entertainment.style,0.258064388
57,entertainment.novel,0.255866238
58,entertainment.production,0.255630353
59,entertainment.documentary,0.250882897
80,opinion.read topic,0.404082765
81,opinion.editor,0.358945289
82,opinion.American,0.355445996
83,opinion.post view,0.353949674
84,opinion.fact,0.347292667
85,opinion.president,0.328726954
86,opinion.President Trump,0.315275912
87,opinion.America,0.311925688
88,opinion.news article,0.309132414
89,opinion.need,0.302210201
90,opinion.must,0.289028848
91,opinion.would,0.287150559
92,opinion.anti,0.271523746
93,opinion.front page,0.271120531
94,opinion.refuse,0.270696499
95,opinion.read post,0.270308388
96,opinion.reform,0.269649264
97,opinion.right,0.261529994
98,opinion.justify,0.24784828
99,opinion.read,0.239511355
120,politics.say,0.726427171
121,politics.February,0.452464514
122,politics.let know,0.403255003
123,politics.Mr,0.362366414
124,politics.Washington,0.316944469
125,politics.Senate,0.312669809
126,politics.FLA,0.307109331
127,politics.Washington president,0.303440288
128,politics.comment section,0.296244166
129,politics.know comment,0.276973679
130,politics.Trump,0.269281713
131,politics.senator,0.268630397
132,politics.legal,0.259788218
133,politics.Democrat,0.256021304
134,politics.Obama administration,0.254038816
135,politics.area,0.25196572
136,politics.zoo,0.249539473
137,politics.president george,0.247595582
138,politics.Trump critic,0.241626183
139,politics.comment,0.239704082
160,sci_health.Dr,0.391732934
161,sci_health.study,0.343901107
162,sci_health.tell fox,0.328644128
163,sci_health.researcher,0.306711028
164,sci_health.type,0.254735296
165,sci_health.physicist,0.246430662
166,sci_health.discover,0.241135246
167,sci_health.scientist,0.237002071
168,sci_health.appear newser,0.236394676
169,sci_health.cancer,0.230517377
170,sci_health.fox,0.227348829
171,sci_health.say Dr,0.22357524
172,sci_health.newser,0.222563171
173,sci_health.earth,0.221410154
174,sci_health.expert,0.218941901
175,sci_health.science,0.21360004
176,sci_health.treatment,0.211865486
177,sci_health.original article,0.203190183
178,sci_health.surgery,0.201448484
179,sci_health.patient,0.200872132
200,sports.team,0.443603129
201,sports.season,0.312356502
202,sports.player,0.309962303
203,sports.coach,0.296906287
204,sports.championship,0.265205174
205,sports.game,0.252671982
206,sports.Oakley,0.239657322
207,sports.injury,0.232108001
208,sports.sport,0.221425644
209,sports.finish,0.220191616
210,sports.Dolan,0.217249828
211,sports.Saturday,0.213805323
212,sports.Mets,0.211318992
213,sports.win,0.205716705
214,sports.FLA,0.205379108
215,sports.teammate,0.199050094
216,sports.title,0.197915933
217,sports.final,0.196052217
218,sports.spring training,0.193522354
219,sports.league,0.193471722
240,world.official,0.494998548
241,world.say,0.493285185
242,world.government,0.445721019
243,world.minister,0.435281012
244,world.Number of Places in Article Body,0.343702222
245,world.police,0.339579117
246,world.Mr,0.319210822
247,world.leader,0.29020301
248,world.security,0.260218229
249,world.country,0.258981245
250,world.flee,0.258642852
251,world.analyst,0.258622045
252,world.European,0.243957635
253,world.Beijing,0.241996727
254,world.capital,0.239695528
255,world.news agency,0.238461381
256,world.new year,0.231516859
257,world.state run,0.229104381
258,world.Britain,0.228722438
259,world.month,0.227064818
